sid,name,season,file_path,observation_count,first_time,last_time
1842298N11080,UNNAMED,1842.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,65,1842-10-25 03:00:00.000040256+00:00,1842-11-02 03:00:00.000040256+00:00
1845336N10074,UNNAMED,1845.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,25,1845-12-02 03:00:00.000040256+00:00,1845-12-05 03:00:00.000040256+00:00
1848011S09079,UNNAMED,1848.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,49,1848-01-11 06:00:00.000040256+00:00,1848-01-17 06:00:00.000040256+00:00
1848011S09080,UNNAMED,1848.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,89,1848-01-11 06:00:00.000040256+00:00,1848-01-22 06:00:00.000040256+00:00
1848011S15057,UNNAMED,1848.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,41,1848-01-11 06:00:00.000040256+00:00,1848-01-16 06:00:00.000040256+00:00
1848011S16057,UNNAMED,1848.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,17,1848-01-11 06:00:00.000040256+00:00,1848-01-13 06:00:00.000040256+00:00
1848061S12075,UNNAMED,1848.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,53,1848-02-29 18:00:00.000040256+00:00,1848-03-07 06:00:00.000040256+00:00
1848112S07084,UNNAMED,1848.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,41,1848-04-21 06:00:00.000040256+00:00,1848-04-26 06:00:00.000040256+00:00
1848112S07444,UNNAMED,1848.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,29,1848-04-20 18:00:00.000040256+00:00,1848-04-24 06:00:00.000040256+00:00
1851080S15062,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,45,1851-03-20 18:00:00.000040224+00:00,1851-03-26 06:00:00.000040224+00:00
1851080S15063,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,57,1851-03-21 06:00:00.000040224+00:00,1851-03-28 06:00:00.000040224+00:00
1851080S21060,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,17,1851-03-21 06:00:00.000040224+00:00,1851-03-23 06:00:00.000040224+00:00
1851080S21420,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,13,1851-03-20 18:00:00.000040224+00:00,1851-03-22 06:00:00.000040224+00:00
1851175N26270,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,37,1851-06-23 12:00:00.000040224+00:00,1851-06-28 00:00:00.000040224+00:00
1851181N19275,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,41,1851-06-29 12:00:00.000040224+00:00,1851-07-04 12:00:00.000040224+00:00
1851187N22262,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,1,1851-07-05 12:00:00.000040224+00:00,1851-07-05 12:00:00.000040224+00:00
1851192N12300,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,1,1851-07-10 12:00:00.000040224+00:00,1851-07-10 12:00:00.000040224+00:00
1851214N14321,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,49,1851-08-01 12:00:00.000040224+00:00,1851-08-07 12:00:00.000040224+00:00
1851228N13313,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,99,1851-08-16 00:00:00.000040224+00:00,1851-08-28 06:00:00.000040224+00:00
1851241N27280,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,57,1851-08-28 12:00:00.000040224+00:00,1851-09-04 12:00:00.000040224+00:00
1851250N20278,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,17,1851-09-06 12:00:00.000040224+00:00,1851-09-08 12:00:00.000040224+00:00
1851254N34316,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,19,1851-09-10 12:00:00.000040224+00:00,1851-09-12 18:00:00.000040224+00:00
1851256N26265,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,35,1851-09-12 12:00:00.000040224+00:00,1851-09-16 18:00:00.000040224+00:00
1851256N33287,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,31,1851-09-13 00:00:00.000040224+00:00,1851-09-16 18:00:00.000040224+00:00
1851260N32298,UNNAMED,1851.0,raw/ibtracs/IBTrACS.ALL.v04r01.nc,89,1851-09-16 12:00:00.000040224+00:00,1851-09-27 12:00:00.000040224+00:00
